from_service,to_service,dep_type,subtype,confidence,tier,evidence,sources,topic_or_table,conditional
balancereader,transactionhistory,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
balancereader,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
contacts,ledger-db,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
contacts,ledgerwriter,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
contacts,transactionhistory,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
contacts,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
ledger-db,ledgerwriter,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
ledger-db,transactionhistory,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
ledger-db,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
ledgerwriter,transactionhistory,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
ledgerwriter,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
transactionhistory,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
frontend,loadgenerator,semantic,change_coupling,0.749,implicit,co-changed 29x / ratio=0.83,git_change_coupling,,False
frontend,support,semantic,shared_domain,0.5,implicit,"shared string: ""login"" | shared string: ""license""",string_cooccurrence,login,False
frontend,ui-tests,semantic,shared_domain,0.5,implicit,"shared string: ""login"" | shared string: ""license"" | shared string: ""username""",string_cooccurrence,login,False
support,ui-tests,semantic,shared_domain,0.5,implicit,"shared string: ""login"" | shared string: ""license"" | shared string: ""deposittonewaccount""",string_cooccurrence,login,False
frontend,ledgermonolith,semantic,shared_domain,0.5,implicit,"shared string: ""license"" | shared string: ""amount"" | shared string: ""uuid""",string_cooccurrence,license,False
frontend,loadgenerator,semantic,shared_domain,0.5,implicit,"shared string: ""license"" | shared string: ""amount"" | shared string: ""uuid""",string_cooccurrence,license,False
ledgermonolith,loadgenerator,semantic,shared_domain,0.5,implicit,"shared string: ""license"" | shared string: ""amount"" | shared string: ""uuid""",string_cooccurrence,license,False
ledgermonolith,support,semantic,shared_domain,0.5,implicit,"shared string: ""license""",string_cooccurrence,license,False
ledgermonolith,ui-tests,semantic,shared_domain,0.5,implicit,"shared string: ""license""",string_cooccurrence,license,False
loadgenerator,support,semantic,shared_domain,0.5,implicit,"shared string: ""license""",string_cooccurrence,license,False
loadgenerator,ui-tests,semantic,shared_domain,0.5,implicit,"shared string: ""license"" | shared string: ""username"" | shared string: ""password""",string_cooccurrence,license,False
